Time,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ
19.070,0.88,-0.75,0.62,-109,-94,16
19.072,1.00,-0.75,0.62,-109,-94,16
19.074,1.12,-0.75,0.50,-109,-94,16
19.076,1.12,-0.75,0.50,-125,-94,16
19.078,1.25,-0.75,0.38,-125,-94,16
19.080,1.12,-0.75,0.38,-125,-94,16
19.082,1.12,-0.62,0.38,-125,-109,16
19.084,1.12,-0.62,0.25,-141,-109,16
19.086,1.00,-0.50,0.25,-141,-109,31
19.088,0.88,-0.38,0.25,-141,-109,31
19.090,0.75,-0.25,0.12,-141,-109,31
19.092,0.62,-0.12,0.12,-141,-109,31
19.094,0.50,-0.12,0.00,-141,-109,31
19.096,0.50,0.00,0.00,-125,-94,31
19.098,0.50,0.00,-0.12,-125,-94,31
19.100,0.50,0.00,-0.25,-109,-78,31
19.102,0.50,0.00,-0.38,-109,-78,31
19.104,0.62,-0.12,-0.38,-94,-63,31
19.106,0.62,-0.25,-0.50,-94,-63,31
19.108,0.50,-0.25,-0.62,-94,-63,31
19.110,0.62,-0.38,-0.62,-78,-63,31
19.112,0.62,-0.38,-0.75,-78,-47,31
19.114,0.50,-0.50,-0.75,-63,-47,31
19.116,0.50,-0.50,-0.75,-63,-47,31
19.118,0.50,-0.50,-0.75,-63,-31,31
19.120,0.50,-0.50,-0.88,-63,-31,47
19.122,0.50,-0.50,-0.88,-47,-31,31
19.124,0.50,-0.50,-0.88,-47,-31,31
19.126,0.38,-0.38,-0.88,-47,-16,31
19.128,0.38,-0.25,-0.88,-31,-16,31
19.130,0.25,-0.12,-0.88,-31,-16,31
19.132,0.12,-0.12,-0.75,-31,-16,31
19.134,0.12,0.00,-0.75,-16,0,31
20.748,0.75,-0.75,0.12,0,0,0
20.750,0.75,-0.75,0.12,0,0,0
20.752,1.00,-0.88,0.00,0,0,0
20.754,1.12,-0.75,-0.12,16,16,16
20.756,1.62,-0.88,-0.25,16,16,16
20.758,2.25,-1.38,-0.50,16,31,16
20.760,2.12,-1.50,-1.00,16,31,16
20.762,2.25,-1.25,-1.62,16,16,31
20.764,2.25,-0.38,-1.75,-16,0,31
20.766,1.88,0.38,-1.38,-31,-31,31
20.768,1.00,0.75,-1.25,-16,-78,31
20.770,0.12,0.62,-1.00,31,-94,31
20.772,-0.12,0.38,-0.88,47,-109,31
20.774,-0.12,0.00,-0.62,63,-94,16
20.776,-0.25,-0.25,-0.12,78,-78,16
20.778,-0.62,-0.62,-0.25,78,-63,0
20.780,-0.75,-1.00,-0.38,63,-63,0
20.782,-0.75,-1.50,-0.25,63,-47,-16
20.784,-0.50,-2.00,0.00,78,-31,-16
20.786,-0.25,-2.38,0.12,63,-31,-16
20.788,0.00,-2.50,0.38,63,-16,-16
20.790,0.25,-2.38,0.50,47,-16,-16
20.792,0.38,-2.12,0.38,16,0,-16
20.794,0.50,-1.75,0.25,0,0,-16
20.796,0.62,-1.38,0.00,-47,16,-16
20.798,0.75,-1.00,0.00,-47,16,-16
20.800,0.88,-0.50,0.00,-47,16,-16
20.802,0.75,-0.25,0.00,-47,16,-31
20.804,0.62,-0.12,0.25,-47,0,-31
20.806,0.50,0.00,0.25,-31,0,-31
20.808,0.50,0.00,0.25,-31,0,-31
20.810,0.62,-0.25,0.12,-16,16,-31
20.812,0.88,-0.50,0.00,-16,16,-31
20.814,1.00,-0.75,0.00,0,16,-31
20.816,1.12,-1.00,0.12,0,16,-31
20.818,1.12,-1.00,0.12,0,16,-31
20.820,1.25,-1.12,0.25,0,16,-31
20.822,1.25,-1.00,0.12,-16,0,-31
20.824,1.25,-0.88,0.12,-16,0,-16
20.826,1.12,-0.75,0.12,-16,0,-16
20.828,1.12,-0.62,0.12,-16,0,-16
20.830,1.00,-0.50,0.12,-16,0,0
20.832,1.00,-0.38,0.12,-16,0,0
20.834,1.00,-0.25,0.12,-16,0,0
20.836,1.00,-0.25,0.00,-16,16,0
20.838,1.00,-0.25,0.00,-16,16,0
20.840,1.00,-0.25,0.00,0,16,0
20.842,1.00,-0.38,0.00,16,16,16
20.844,1.00,-0.38,0.00,16,16,16
20.846,0.88,-0.50,0.00,16,16,16
20.848,0.75,-0.50,0.00,16,16,16
20.850,0.62,-0.50,0.00,16,16,16
20.852,0.50,-0.38,0.00,31,16,31
20.854,0.38,-0.38,0.00,31,31,31
20.856,0.38,-0.25,0.12,31,31,31
20.858,0.25,-0.25,0.12,31,31,47
20.860,0.25,-0.25,0.25,47,31,47
20.862,0.25,-0.38,0.25,47,47,47
20.864,0.25,-0.38,0.25,47,47,47
20.866,0.38,-0.38,0.25,63,63,47
22.410,0.75,-0.75,0.12,0,0,0
22.412,0.88,-0.88,0.12,0,0,0
22.414,1.00,-0.62,0.00,0,0,0
22.416,1.25,-1.00,-0.38,0,0,16
22.418,1.75,-1.62,-0.25,16,16,16
22.420,2.50,-2.00,-0.12,31,31,16
22.422,2.12,-2.12,-0.88,16,16,16
22.424,2.00,-1.50,-2.00,-31,0,31
22.426,1.88,-0.25,-2.00,-63,-31,31
22.428,1.50,0.62,-1.25,-78,-63,31
22.430,0.25,0.62,-0.88,-47,-94,31
22.432,-0.25,0.12,-0.75,16,-109,16
22.434,-0.38,-0.50,-0.50,63,-109,16
22.436,-0.25,-0.75,-0.38,63,-78,16
22.438,-0.62,-0.75,-0.50,16,-63,-16
